text	authoritative_cn	tier	exact_source_path	source_pointer	confidence	notes
时女一族編 4話	时女一族篇 4话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-25话/title	0.99	Wiki对应主线章节标题
时女一族編 5話	时女一族篇 5话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-26话/title	0.99	Wiki对应主线章节标题
时女一族編 6話	时女一族篇 6话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-27话/title	0.99	Wiki对应主线章节标题
时女一族編 7話	时女一族篇 7话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-28话/title	0.99	Wiki对应主线章节标题
时女一族編 8話	时女一族篇 8话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-29话/title	0.99	Wiki对应主线章节标题
时女一族編 9話	时女一族篇 9话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-30话/title	0.99	Wiki对应主线章节标题
时女一族編 10話	时女一族篇 10话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-31话/title	0.99	Wiki对应主线章节标题
橋	桥	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/天馬駆ける/desc_ja;/天馬駆ける/desc_zh	0.99	Wiki日中说明明确采用“橋→桥”
全体編 1話	全体篇 1话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-51话/title	0.99	Wiki对应主线章节标题
全体編 2話	全体篇 2话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-52话/title	0.99	Wiki对应主线章节标题
全体編 3話	全体篇 3话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-53话/title	0.99	Wiki对应主线章节标题
全体編 4話	全体篇 4话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-54话/title	0.99	Wiki对应主线章节标题
全体編 5話	全体篇 5话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-55话/title	0.99	Wiki对应主线章节标题
全体編 6話	全体篇 6话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-56话/title	0.99	Wiki对应主线章节标题
全体編 7話	全体篇 7话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-57话/title	0.99	Wiki对应主线章节标题
全体編 8話	全体篇 8话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-58话/title	0.99	Wiki对应主线章节标题
全体編 9話	全体篇 9话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-59话/title	0.99	Wiki对应主线章节标题
全体編 10話	全体篇 10话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-60话/title	0.99	Wiki对应主线章节标题
汤国市駅	汤国市车站	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz	jsonl:2009:/wikitext/中日对照	0.98	Wiki中日对照明确采用“駅→车站”；既有中文地名保持不变
現代神滨編	现代神滨篇	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json	/5668/title	0.99	Wiki日中显式对应
困難級	困难级	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz	jsonl:2175:/wikitext/玩法	1.00	Wiki页面在同一句中显式标注中文“困难级”和日文“困難級”
窮地級	穷地级	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz	jsonl:2175:/wikitext/玩法	1.00	Wiki页面在同一句中显式标注中文“穷地级”和日文“窮地級”
绝望級	绝望级	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json	/809/headings/6/text	0.97	仅替换Wiki已确认的名称或用词组件
喫茶店	咖啡店	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/sectionList.json/101877/areaDetailName	1.00	官方国服直接值
路地裏	小巷	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/pieceList.json/1125/pieceName;/pieceList.json/1125/description	0.98	官方国服记忆结晶名称和说明采用“小巷”
純 美雨	纯美雨	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/charaList.json/3012/name	1.00	官方国服直接值
史乃 沙優希	史乃沙优希	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/charaList.json/3033/name	1.00	官方国服直接值
緑地公园	绿地公园	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/朝焼けに発つ/desc_ja;/朝焼けに発つ/desc_zh	0.98	Wiki日中说明明确采用“緑→绿”；既有“地公园”保持不变
遊佐 葉月	游佐叶月	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/charaList.json/3027/name	1.00	官方国服直接值
綾野 梨花	绫野梨花	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/charaList.json/3031/name	1.00	官方国服直接值
恵 萌花	惠萌花	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/cardList.json/30343/cardName	1.00	官方国服直接值
飾利 潤	饰利润	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\characters.json	/饰利润/nameJa;/饰利润/nameZh	0.99	Wiki日中显式对应
安寧―Peace―	安宁―Peace―	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz	jsonl:1000:/wikitext/Doppel日文;jsonl:1000:/wikitext/Doppel中文	0.99	Wiki魔女化身日中字段明确采用“安寧→安宁”；英文副题及原分隔符保持不变
我慢我慢我慢…追跡	忍耐忍耐忍耐…追踪	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz	jsonl:3:/wikitext/我慢のドッペル;jsonl:641:/wikitext/魔法少女タップ7-ja;jsonl:641:/wikitext/魔法少女タップ7-zh	0.97	Wiki分别明确采用“我慢→忍耐”和“追跡→追踪”；重复与省略号保持不变
詩音 千里	诗音千里	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/charaList.json/4034/name	1.00	官方国服直接值
神原 駿河	神原骏河	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/cardList.json/40434/cardName	1.00	官方国服直接值
千石 撫子	千石抚子	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/cardList.json/40444/cardName	1.00	官方国服直接值
篠目约鹤的“记忆”	篠目夜鹤的“记忆”	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/cardList.json/10404/cardName	0.99	仅替换官方国服已确认的名称或用词组件
自选期间限定★4必得扭蛋券内含特別套装。※具体内容请查看公告	自选期间限定★4必得扭蛋券内含特别套装。※具体内容请查看公告	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
自选★4记忆结晶兑换券内含特別套装。※具体内容请查看公告	自选★4记忆结晶兑换券内含特别套装。※具体内容请查看公告	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
自选★4必得扭蛋券内含特別套装。※具体内容请查看公告	自选★4必得扭蛋券内含特别套装。※具体内容请查看公告	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
3周年DX福袋(銀)	3周年DX福袋(银)	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/銀の魔女の手下/name_ja;/銀の魔女の手下/name_zh	0.99	Wiki日中字段明确确认名称组件“銀→银”；其余商品名结构保持原样
★4必得扭蛋券内含特別套装。※具体内容请查看公告	★4必得扭蛋券内含特别套装。※具体内容请查看公告	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
3周年DX福袋(銅)						未找到官方国服或Wiki可直接采用的中文对
兑换券内含特別套装。详情可通过按钮查看。	兑换券内含特别套装。详情可通过按钮查看。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
魔法少女精选兑换券内含特別套装。详情可通过按钮查看。	魔法少女精选兑换券内含特别套装。详情可通过按钮查看。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
1200日纪念特別套装。详情可点击图标查看。	1200日纪念特别套装。详情可点击图标查看。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
兑换券内含特別套装。详情可点击图标查看。	兑换券内含特别套装。详情可点击图标查看。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
10连扭蛋券内含特別套装。详情可点击图标查看。	10连扭蛋券内含特别套装。详情可点击图标查看。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
AP回复药内含特別套装。详情可点击图标查看。	AP回复药内含特别套装。详情可点击图标查看。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
★4魔法少女必得扭蛋券内含特別套装。详情可点击图标查看。	★4魔法少女必得扭蛋券内含特别套装。详情可点击图标查看。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
4周年DX福袋(銅)						未找到官方国服或Wiki可直接采用的中文对
海香的觉醒書	海香的觉醒书	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/giftList.json/602/name	1.00	官方国服直接值
1600日纪念特別套装。详情可点击图标查看。	1600日纪念特别套装。详情可点击图标查看。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
1700日纪念特別套装。详情可点击图标查看。	1700日纪念特别套装。详情可点击图标查看。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
1800日纪念特別套装。详情可点击图标查看。	1800日纪念特别套装。详情可点击图标查看。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
5周年DX福袋(銅)						未找到官方国服或Wiki可直接采用的中文对
1900日纪念特別套装。详情可点击图标查看。	1900日纪念特别套装。详情可点击图标查看。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
2000日纪念特別套装。详情可点击图标查看。	2000日纪念特别套装。详情可点击图标查看。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
2100日纪念特別套装。详情可点击图标查看。	2100日纪念特别套装。详情可点击图标查看。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
6周年DX福袋(銅)						未找到官方国服或Wiki可直接采用的中文对
2300日纪念特別套装。详情可点击图标查看。	2300日纪念特别套装。详情可点击图标查看。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
记忆结晶「引縄批根」（等级已满/已达最大界限突破）	记忆结晶「引绳批根」（等级已满/已达最大界限突破）	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/引縄批根/name_ja;/引縄批根/name_zh	0.99	仅替换Wiki已确认的名称或用词组件
2400日纪念特別套装。详情可点击图标查看。	2400日纪念特别套装。详情可点击图标查看。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/shopItemList.json/8625/description	0.98	官方国服商店说明采用“特别套装”；仅统一该词形
天乃鈴音	天乃铃音	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/charaList.json/4031/name	1.00	官方国服直接值
史乃沙優希	史乃沙优希	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/charaList.json/3033/name	1.00	官方国服直接值
史乃沙優希的服装【泳装】	史乃沙优希的服装【泳装】	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/charaList.json/3033/name	0.99	仅替换官方国服已确认的名称或用词组件
